id,"Version Num","Release Date",ChangeLog,"Version Features","Version Status","Version Detail"
1,1.0.0,2024.08.05,"정식 릴리즈","정식 릴리즈",Inactive,"정식 릴리즈"
2,1.0.1,2024.08.06,"이전 버전 오류 해결","속도, 레이아웃 개선, 페이지, 기능 추가",Inactive,"DATA PROCESS 페이지 레이아웃 변경
전체 레이아웃 변경


2. 프로그램 구동 속도 개선


3. 로딩 시 상태메시지 추가
refresh, 페이지 변경 등


4. BOARD 페이지 추가
- 버전 관리 페이지
- 버전을 선택하고 자세히를 누르면 업데이트 사항 표시 


5. 관리자 모드 추가
BOARD 페이지 버전 관리 ‘추가’, ‘삭제’ 관리자 비밀번호 필요
USER 페이지 ‘추가’, ‘삭제’ 관리자 비밀번호 필요 "
3,1.0.2,2024.08.08,"기능 추가	","버그 게시판, 데이터 시간 분할",Inactive,"1. 버그 리포트 게시판
- BOARD 페이지에 위치 
- 유저 모두 사용 가능
- 버그 발생시 개발에게 알림 기능


2. 시작 시 업데이트 확인
- 프로그램 시작 시 현재 버전과 최신 버전과 비교해서 구버전일 경우 알림창


3. DATA PROCESS 시간 분할
- 연, 월 단위로 분할 가능
- DB의 경우, DB 탭에서 DB를 선택한다음 분할 버튼
- 파일의 경우 파일 탐색기에서 csv를 선택(여러개 선택 가능)하고, open버튼을 누른다음 분할 버튼 "
4,1.0.3,2024.08.09,"기능 추가","데이터 분석 추가",Inactive,"1. DATA PROCESS -> ANALYSIS 항목 이름 변경
2. ANALYSIS DB 기반 데이터 분석 기능 추가
- DB 선택 -> 데이터 분석 버튼

3. DATA PROCESS 파일 기반 데이터 분석 기능 추가
- CSV 파일 선택 -> Open 버튼 클릭 -> 데이터 분석 버튼 클릭 -> checkbox에서 해당 csv파일에 맞는 옵션 선택

4. DATABASE->CSV로 저장 시 statistics 댓글 추출(statistics 폴더 따로 생성됨)


=========================================================
INFO ANALYSIS 데이터 분석 종류

1. Naver News Article
- 월별 댓글 수 그래프
- 기사 종류별 그래프
- 언론사 종류별 그래프


2. Naver News Statistics

- 월별 기사 및 댓글 수 그래프
- 기사 종류별 그래프
- 언론사 종류별 그래프
- 상관관계 행렬 히트맵
- 성별 기반 댓글 수 그래프
- 연령대별 댓글 수 그래프
- 연령대별 성별 댓글 비율 그래프


3. Naver News Reply

- 날짜별 댓글 수 추세 그래프
- 댓글 감정 분석 그래프
- 상관관계 행렬 히트맵
- 작성자별 댓글 수 분포(상위 10명)


4. Naver Cafe Article

- 카페별 게시글 수 그래프
- 시간별 게시글 수 그래프
-  작성자별 게시글 수 그래프


5. Naver Cafe Reply  

- 작성자별 댓글 수 그래프
- 시간별 댓글 수 추세 그래프 "
5,1.0.4,2024.08.10,"오류 수정, 기능 추가","KEM KIM",Inactive,"1. 기본 폴더 자동 생성 -> C:/BIGMACLAB_MANAGER

2. 해상도 자동 조정

3. ANALYZE->파일, 토큰화 추가
- article reply 모두 지원
- 토큰화 후 바로 KEMKIM 구동 가능

4. ANALYZE->파일, KIM KEM 추가
- article, reply 모두 지원

5. 몇몇 오류 수정 및 예외처리 "
6,1.0.5,2024.08.11,"기능 추가","토큰 파일 저장",Inactive,"1. ANALYZE->파일, 토큰화 기능 삭제
2. CSV로 저장 -> 토큰 파일 저장 기능 추가 "
7,1.1.0,2024.08.12,"기능 개선","기능 개선",Inactive,"기능 개선"
8,1.1.1,2024.08.13,"오류 수정	","DB 이동",Inactive,"1.1.0 버그 대응 버전"
9,1.1.2,2024.08.14,"기능 추가","저장 기간 설정 추가",Inactive,"DB설정 -> 기간 설정 추가"
10,1.1.3,2024.08.14,"메모리 최적화
오류수정","성능 개선",Inactive,"메모리 최적화
성능개선
오류수정"
11,1.1.4,2024.08.14,"최적화, 기능개선","성능 개선",Inactive,"Analysis 최적화
Analysis 오류 수정"
12,1.1.5,2024.08.15,"성능 개선","DB info 탭, 다운로드 로직",Inactive,"DB info 탭 우클릭 추가"
13,1.1.6,2024.08.16,"Critical Error 수정
기능 추가","User DB",Inactive,"1. ANALYSIS -> User DB 기능 추가(개인 DB에 csv 보관) 
2. MySQL 오류 수정"
